10014020,臺東縣成功鎮,臺東縣成功鎮,
10013210,屏東縣佳冬鄉,屏東縣佳冬鄉,
10009130,雲林縣麥寮鄉,雲林縣麥寮鄉,
10014110,臺東縣綠島鄉,臺東縣綠島鄉,
10014160,臺東縣蘭嶼鄉,臺東縣蘭嶼鄉,
10007120,彰化縣田中鎮,彰化縣田中鎮,
10007170,彰化縣社頭鄉,彰化縣社頭鄉,
10013140,屏東縣竹田鄉,屏東縣竹田鄉,
10013050,屏東縣萬丹鄉,屏東縣萬丹鄉,
10005160,苗栗縣三灣鄉,苗栗縣三灣鄉,
10004110,新竹縣峨眉鄉,新竹縣峨眉鄉,
10005110,苗栗縣南庄鄉,苗栗縣南庄鄉,
10010010,嘉義縣太保市,嘉義縣太保市,
10010130,嘉義縣中埔鄉,嘉義縣中埔鄉,
10010160,嘉義縣番路鄉,嘉義縣番路鄉,
10010120,嘉義縣水上鄉,嘉義縣水上鄉,
10007100,彰化縣員林市,彰化縣員林鎮,
64000110,高雄市小港區,高雄市小港區,
10002030,宜蘭縣蘇澳鎮,宜蘭縣蘇澳鎮,
10002090,宜蘭縣五結鄉,宜蘭縣五結鄉,
10002010,宜蘭縣宜蘭市,宜蘭縣宜蘭市,
10002060,宜蘭縣壯圍鄉,宜蘭縣壯圍鄉,
09007010,連江縣南竿鄉,連江縣南竿鄉,
09007030,連江縣莒光鄉,連江縣莒光鄉,
09020060,金門縣烏坵鄉,金門縣烏坵鄉,
10002020,宜蘭縣羅東鎮,宜蘭縣羅東鎮,
10002070,宜蘭縣員山鄉,宜蘭縣員山鄉,
10002080,宜蘭縣冬山鄉,宜蘭縣冬山鄉,
10002100,宜蘭縣三星鄉,宜蘭縣三星鄉,
10002110,宜蘭縣大同鄉,宜蘭縣大同鄉,
10004020,新竹縣竹東鎮,新竹縣竹東鎮,
10004030,新竹縣新埔鎮,新竹縣新埔鎮,
10004040,新竹縣關西鎮,新竹縣關西鎮,
10004050,新竹縣湖口鄉,新竹縣湖口鄉,
10004070,新竹縣芎林鄉,新竹縣芎林鄉,
10004080,新竹縣橫山鄉,新竹縣橫山鄉,
10004090,新竹縣北埔鄉,新竹縣北埔鄉,
10004100,新竹縣寶山鄉,新竹縣寶山鄉,
10004120,新竹縣尖石鄉,新竹縣尖石鄉,
10004130,新竹縣五峰鄉,新竹縣五峰鄉,
66000250,臺中市龍井區,臺中縣龍井鄉,
66000180,臺中市大雅區,臺中縣大雅鄉,
66000130,臺中市沙鹿區,臺中縣沙鹿鎮,
66000140,臺中市梧棲區,臺中縣梧棲鎮,
10016020,澎湖縣湖西鄉,澎湖縣湖西鄉,
10005010,苗栗縣苗栗市,苗栗縣苗栗市,
10005070,苗栗縣卓蘭鎮,苗栗縣卓蘭鎮,
10005080,苗栗縣大湖鄉,苗栗縣大湖鄉,
10005090,苗栗縣公館鄉,苗栗縣公館鄉,
10005100,苗栗縣銅鑼鄉,苗栗縣銅鑼鄉,
10005120,苗栗縣頭屋鄉,苗栗縣頭屋鄉,
10005130,苗栗縣三義鄉,苗栗縣三義鄉,
10005140,苗栗縣西湖鄉,苗栗縣西湖鄉,
10005150,苗栗縣造橋鄉,苗栗縣造橋鄉,
10005170,苗栗縣獅潭鄉,苗栗縣獅潭鄉,
10005180,苗栗縣泰安鄉,苗栗縣泰安鄉,
10007010,彰化縣彰化市,彰化縣彰化市,
10007030,彰化縣和美鎮,彰化縣和美鎮,
10007040,彰化縣線西鄉,彰化縣線西鄉,
10007050,彰化縣伸港鄉,彰化縣伸港鄉,
10007070,彰化縣秀水鄉,彰化縣秀水鄉,
10007080,彰化縣花壇鄉,彰化縣花壇鄉,
10007090,彰化縣芬園鄉,彰化縣芬園鄉,
10007110,彰化縣溪湖鎮,彰化縣溪湖鎮,
10010090,嘉義縣東石鄉,嘉義縣東石鄉,
10007130,彰化縣大村鄉,彰化縣大村鄉,
10007140,彰化縣埔鹽鄉,彰化縣埔鹽鄉,
10007150,彰化縣埔心鄉,彰化縣埔心鄉,
10007160,彰化縣永靖鄉,彰化縣永靖鄉,
10007180,彰化縣二水鄉,彰化縣二水鄉,
10007200,彰化縣二林鎮,彰化縣二林鎮,
10007220,彰化縣埤頭鄉,彰化縣埤頭鄉,
10007230,彰化縣芳苑鄉,彰化縣芳苑鄉,
10007240,彰化縣大城鄉,彰化縣大城鄉,
10007250,彰化縣竹塘鄉,彰化縣竹塘鄉,
10007260,彰化縣溪州鄉,彰化縣溪州鄉,
10008010,南投縣南投市,南投縣南投市,
10008020,南投縣埔里鎮,南投縣埔里鎮,
10008030,南投縣草屯鎮,南投縣草屯鎮,
10008040,南投縣竹山鎮,南投縣竹山鎮,
10008050,南投縣集集鎮,南投縣集集鎮,
10008060,南投縣名間鄉,南投縣名間鄉,
10008070,南投縣鹿谷鄉,南投縣鹿谷鄉,
10008080,南投縣中寮鄉,南投縣中寮鄉,
10008090,南投縣魚池鄉,南投縣魚池鄉,
10008100,南投縣國姓鄉,南投縣國姓鄉,
10008110,南投縣水里鄉,南投縣水里鄉,
10008120,南投縣信義鄉,南投縣信義鄉,
10008130,南投縣仁愛鄉,南投縣仁愛鄉,
10009010,雲林縣斗六市,雲林縣斗六市,
10009020,雲林縣斗南鎮,雲林縣斗南鎮,
10009030,雲林縣虎尾鎮,雲林縣虎尾鎮,
10009040,雲林縣西螺鎮,雲林縣西螺鎮,
10009050,雲林縣土庫鎮,雲林縣土庫鎮,
10009060,雲林縣北港鎮,雲林縣北港鎮,
10009070,雲林縣古坑鄉,雲林縣古坑鄉,
10009080,雲林縣大埤鄉,雲林縣大埤鄉,
10009090,雲林縣莿桐鄉,雲林縣莿桐鄉,
10009100,雲林縣林內鄉,雲林縣林內鄉,
10009110,雲林縣二崙鄉,雲林縣二崙鄉,
10009120,雲林縣崙背鄉,雲林縣崙背鄉,
10009140,雲林縣東勢鄉,雲林縣東勢鄉,
10009150,雲林縣褒忠鄉,雲林縣褒忠鄉,
10009170,雲林縣元長鄉,雲林縣元長鄉,
10009200,雲林縣水林鄉,雲林縣水林鄉,
10010020,嘉義縣朴子市,嘉義縣朴子市,
10010040,嘉義縣大林鎮,嘉義縣大林鎮,
10010050,嘉義縣民雄鄉,嘉義縣民雄鄉,
10010060,嘉義縣溪口鄉,嘉義縣溪口鄉,
10010070,嘉義縣新港鄉,嘉義縣新港鄉,
10010080,嘉義縣六腳鄉,嘉義縣六腳鄉,
10010100,嘉義縣義竹鄉,嘉義縣義竹鄉,
10010110,嘉義縣鹿草鄉,嘉義縣鹿草鄉,
10010140,嘉義縣竹崎鄉,嘉義縣竹崎鄉,
10010150,嘉義縣梅山鄉,嘉義縣梅山鄉,
10010170,嘉義縣大埔鄉,嘉義縣大埔鄉,
10010180,嘉義縣阿里山鄉,嘉義縣阿里山鄉,
10013010,屏東縣屏東市,屏東縣屏東市,
10013020,屏東縣潮州鎮,屏東縣潮州鎮,
10013060,屏東縣長治鄉,屏東縣長治鄉,
10013070,屏東縣麟洛鄉,屏東縣麟洛鄉,
10013080,屏東縣九如鄉,屏東縣九如鄉,
